wylie,base term,sanskrit,wikipedia,translations,comment
bag med,,,,беспечность,
bar do,,антарабхава,,,
bar do ba,,,,,
bdag med,,анатма,,бессамостность,
bdag nyid,,атман,https://ru.wikipedia.org/wiki/Атман,суть; сущность,
bde [ba],,,,блаженство,
blo,,,,интеллект,
brtson ‘grus,,вирья,,,
bsgom pa,,бхавана,,медитация; медитативное освоение; созерцание,
byang [chub] sems [dpa’],,бодхисаттва,,Герой Пробуждения (бодхисаттва),
chos,,"дхамма, дхарма",https://ru.wikipedia.org/wiki/Дхарма,"Дхарма, Учение; духовное учение; духовность",
*,,,,элементы бытия; феномены; явления,
chos nyid,,дхармата,,подлинное-бытие,
chos mngon,,,,теория элементов бытия (Абхидхарма),
dad pa,,,,вера; устремление-вера,
de nyid,,,,идентичность,
dge ba,,,,добродетели,
dran pa,,,,,
gang zag,,пудгала,,личность; индивид,
gnyis [su] med [pa],,,,недвойственность; недуальность; недвойственное,
gti mug,,моха,,заблуждение,
klu,,нага,,,
kun slong,,,,,
las,,карма,,действенность действия; действие; действие-карма; карма,
lta ba,,,,видение; воззрение ,
ma rig pa,,авидья,https://ru.wikipedia.org/wiki/Авидья,неведение,
mi rtag pa,,,,непостоянство,
mngon sum ,,,,непосредственное; явное; очевидное,
mngon sum gyis shes pa,,,,прямое постижение/познание,
nga rgyal,,мана,,гордость,
phyag rgya,,мудра,,,
rang sangs rgyas,,пратьекабудда,,Индивидуально-Пробужденные (Пратьекабудды),
rdo rje,,ваджра,,,
rig pa,,,,ведать; ведение,
rten [cing] 'brel [bar 'byung ba],,,,зависимо-связанное возникновение; возникновение  в зависимости от опоры,
sems,,,,дух; психика; сознание ,
sdig pa,,,,зло; недостойное; злодеяние; грех,
sgrib pa,,аварана,,препоны; препятствующие препоны ,
smon lam,,,,молитва; благопожелание,
snang,,,,проявляться; проявления,
sred pa,,,,влечение;  вожделение,
spyod pa,,,,деяния-практики [Героев Пробуждения],
*,,,,деятельность; активность,
thar pa,,,,Освобождение,
ye shes,,джняна,,исконное знание; исконнознание,
yon tan,,,,свойства; достоинства,
zhe sdang,,,,гнев,
zhi ba,,,,Покой; Нирвана; умиротворение,
‘byor ba,,,,,
‘khor ba,,"сансара, самсара",,круговорот; круговерть; сансара  ,
‘phags pa,,,,,