wylie,base_term,sanskrit_rus,sanskrit_eng
bag chags,,,vasana
bag la nyal ,,,anusaya
bag med,,прамада,pramada
bar do,,антарабхава,antarabhava
bar do ba,,,
bdag,,атман,atman
bdag dang bdag gir ‘dzin pa,,,
bdag med,,анатма,anatma
bdag nyid,,атман,atman
bdag tu ‘dzin pa,,,atma-graha
bde [ba],,,sukha
blo,,,buddhi
brtags min gyi ‘gog pa,,,apratisamkhya-nirodha
brtson ‘grus,,вирья,virya
bsgom pa,,бхавана,bhavana
bsgrub pa,,,sadhya
bsod nams,,,punya
byang [chub kyi] sems,,бодхичитта,bodhicitta
byang [chub] sems [dpa‘],,бодхисаттва,bodhisattva
byang chub,,,bodhi
byis pa,,,bala
bzung ba,,,grhita 
chad [pa‘i] lta [ba],,,
chags pa,,,sakti
chos,,дхамма; дхарма,Dharma
chos [kyi] dbyings,,дхармадхату,dharmadhatu
chos mngon,,Абхидхарма,abhidharma
chos nyid,,дхармата,dharmata
dad pa,,шраддха,sraddha
dag pa,,,suddha
dben pa,,,vivikta
dbu ma pa,,,madhyamika
de bzhin gshegs pa,,Татхагата,Tathagata
de kho na [nyid],,,
de nyid,,таттва,tathata
dge ba,,,subha; kusala; bhadra
dge ba‘i bshes gnyen,,,kalyana-mitra
dgra bcom pa,,,
dmigs pa,,,
dngos po ,,,
dran pa,,смрити,smrti
gang zag,,пудгала,pudgala
gnas lugs,,,
gnyis [su] med [pa],,,
gsal ba,,,
gti mug,,моха,moha
gtso bo,,,
gzhan dbang,,,
gzugs,,,
ji snyed pa,,,
khams,,дхату,dhatu
khro ba,,,
klu,,нага,naga
kun rdzob pa‘i bden pa,,,
kun slong,,,samutthana
las,,карма,karma
log rtog,,,
lta ba,,,drsti
ma rig pa,,авидья,avidya
med pa,,,
mi dge ba ,,,
mi rigs,,,
mi rtag pa,,,anityata
mi ‘thse ba,,,
mngon par zhen pa,,,
mngon rtog ,,,
mngon sum ,,,pratyaksa
mngon sum gyis shes pa,,,
mnyam [par] gzhag [pa],,,
mthar lta,,,
mthar ‘dzin pa,,,
mtshan gzhi,,,
mtshan nyid,,,
myang ‘das,,,
myong ba,,,
nga rgyal,,"мана, ахамкара",mana
ngar ‘dzin ,,,
nges ‘byung,,,
ngo bo ,,,
nyan thos [rnams],,шравака,sravaka
nyon mongs,,,
pha rol tu phyin pa,,,
phrin las,,,
phung po,,,
phyag rgya,,мудра,mudra
rang bzhin,,свабхава,svabhava
rang gi mtshan nyid,,,
rang rig,,,
rang sangs rgyas,,пратьекабудда,pratyekabuddha
rdo rje,,ваджра,vajra
rdzas,,,
reg pa,,,
rgyud,,,
rig pa,,видья,vidya
rjes su dran pa,,,
rmongs pa,,,
rnam par thar pa ,,,
rnam shes,,виджняна,vijnana
rtag lta ba,,,
rten,,,
rten [cing] ‘brel [bar ‘byung ba],,,pratityasamutpada
rtog pa,,,
sbyin pa ,,дана,dana
sdig pa,,,papa
sdug bsngal,,,
sems,,читта,citta
sems bskyed,,,
sems nyid,,,
sgrib pa,,аварана,avarana
sgro ‘dogs pa,,,
sgyu ma,,,
shes pa,,,
smon lam,,,
snang,,,
snying brtse ,,,
snying rje,,каруна,karuna
snying stobs,,,
so sor brtags ‘gog,,,
so sor rtog pa,,,
so sor thar pa,,,
spros pa ,,прапанча,prpanca
spyod pa,,,carya
sred pa,,,trsna
srid pa,,,
stong [pa] nyid,,шуньята,sunyata
thams cad mkhyen pa,,,sarvajna; sarvajnata
thar pa,,мокша,moksa
thug pa med pa,,,
tshul khrims,,,sila
ye shes,,джняна,jnana
yon tan,,,guna
yul,,,
zhe sdang,,,dvesa
zhi ba,,,santi
‘byor ba,,,sampad
‘dod chags,,,raga
‘dod pa,,,kama
‘du shes,,,samjna
‘dus byas,,,samskrta
‘dzin pa,,,graha
‘gro ba,,,gati
‘jig rten,,,
‘jug pa‘i sems,,,
‘khor ba,,сансара; самсара,samsara
‘phags pa,,арья,arya